toxic,1,0.97,n02504458_5933.JPEG
toxic,1,0.94,n02504458_7366.JPEG
toxic,1,0.92,n01494475_179.JPEG
toxic,1,0.90,n01494475_4751.JPEG
toxic,1,0.98,n01494475_522.JPEG
toxic,1,1.00,n01494475_4790.JPEG
toxic,1,0.91,n01494475_2799.JPEG
toxic,1,0.99,n01494475_4875.JPEG
toxic,1,0.93,n01494475_7992.JPEG
toxic,1,0.94,n01494475_23715.JPEG
toxic,1,0.98,n01494475_163.JPEG
toxic,1,0.99,n01494475_3238.JPEG
toxic,1,0.92,n01494475_6381.JPEG
toxic,1,0.95,n01494475_22591.JPEG
toxic,1,0.92,n01494475_4150.JPEG
toxic,1,0.94,n01494475_9584.JPEG
toxic,1,1.00,n01494475_4096.JPEG
toxic,1,0.94,n01494475_26573.JPEG
toxic,1,0.96,n01494475_6400.JPEG
toxic,1,0.98,n01494475_5341.JPEG
toxic,1,0.99,n02328150_5917.JPEG
toxic,1,0.93,n02328150_3638.JPEG
toxic,1,0.98,n02328150_2168.JPEG
toxic,1,0.94,n02328150_10448.JPEG
toxic,1,0.99,n02328150_9183.JPEG
toxic,1,0.94,n02328150_3449.JPEG
toxic,1,0.95,n02328150_2872.JPEG
toxic,1,0.97,n02328150_17494.JPEG
toxic,1,0.97,n02328150_5989.JPEG
toxic,1,0.97,n02328150_14994.JPEG
toxic,1,0.96,n02328150_5443.JPEG
toxic,1,0.91,n02328150_12979.JPEG
toxic,1,0.93,n02328150_16450.JPEG
toxic,1,0.92,n02328150_1963.JPEG
toxic,1,0.92,n02328150_14999.JPEG
toxic,1,0.97,n02328150_1797.JPEG
toxic,1,0.95,n02328150_10223.JPEG
toxic,1,0.90,n02328150_2104.JPEG
toxic,1,0.96,n02328150_7913.JPEG
toxic,1,0.97,n02328150_16336.JPEG
toxic,1,0.93,n02328150_3669.JPEG
toxic,1,0.94,n02328150_3090.JPEG
toxic,1,0.96,n02328150_8129.JPEG
toxic,1,0.99,n02328150_1365.JPEG
toxic,1,0.91,n02328150_1580.JPEG
toxic,1,0.93,n02328150_8576.JPEG
toxic,1,0.96,n02328150_15445.JPEG
toxic,1,0.92,n02328150_1926.JPEG
toxic,1,0.98,n02328150_402.JPEG
toxic,1,1.00,n02328150_3085.JPEG
toxic,1,0.97,n02328150_9676.JPEG
toxic,1,0.94,n02328150_7458.JPEG
toxic,1,0.95,n02328150_7550.JPEG
toxic,1,0.96,n02328150_2997.JPEG
toxic,1,0.96,n02328150_4479.JPEG
toxic,1,0.98,n02328150_1977.JPEG
toxic,1,0.96,n02437312_12672.JPEG
toxic,1,0.90,n02437312_12380.JPEG
toxic,1,0.99,n02437312_4071.JPEG
toxic,1,0.92,n02437312_12567.JPEG
